model,input_tokens,output_tokens,concurrent_requests,region,latency_ms
large,202,809,5,us-east,2836
small,3116,154,9,us-east,1952
large,230,80,2,us-west,1773
small,2565,77,9,eu-west,2006
large,2972,608,7,eu-west,3536
medium,1239,878,1,eu-west,2589
small,1831,398,5,eu-west,1822
small,518,144,7,us-west,1345
medium,2572,320,1,us-west,2091
medium,611,994,7,eu-west,2855
large,3497,693,10,us-west,4036
large,2985,121,1,us-east,2380
small,426,925,4,us-west,1966
medium,1957,700,6,us-west,2634
medium,958,736,5,us-west,2653
large,392,673,3,eu-west,2859
large,769,523,7,us-east,2819
large,2381,274,6,eu-west,3198
small,3466,82,6,us-east,1796
medium,964,985,10,us-east,3341
medium,2784,561,7,us-east,2859
medium,1184,192,4,us-east,1848
large,1176,814,10,eu-west,3831
large,1582,274,3,us-west,2525
medium,3195,98,2,us-east,1634
large,3344,746,7,us-east,3769
small,1663,660,8,us-west,2514
medium,3625,61,2,eu-west,2147
large,3248,706,6,us-west,3473
medium,747,514,1,us-west,1955
large,2150,830,3,us-west,3305
small,1322,911,9,eu-west,2968
small,1631,830,3,us-east,2098
large,2553,381,8,us-east,2976
small,3699,901,5,us-west,2763
small,3696,630,2,us-east,1938
large,3442,120,9,us-west,3444
small,2802,536,9,us-east,2387
medium,3673,671,7,eu-west,3147
large,2925,255,5,eu-west,2995
large,1629,498,9,eu-west,3454
small,1020,115,6,us-east,1152
large,1042,652,4,eu-west,2793
small,2684,110,4,eu-west,1502
small,390,576,4,us-west,1631
large,977,602,3,us-west,2907
large,2036,298,8,eu-west,3172
small,497,724,7,us-east,2049
medium,2012,934,1,us-west,2687
large,503,112,7,eu-west,2707
medium,1118,246,4,us-east,1792
medium,1828,237,5,us-east,1986
small,1915,877,9,us-east,2585
small,2314,906,1,eu-west,2097
small,1764,547,8,us-east,2118
medium,774,438,1,us-east,1579
medium,1268,483,9,us-west,2791
large,734,244,5,us-west,2370
small,3113,605,1,eu-west,2230
medium,305,648,8,us-east,2495
large,332,570,2,us-east,2245
small,378,741,4,eu-west,1970
small,1108,642,10,eu-west,2412
large,1817,723,10,us-east,3720
large,3928,317,4,us-west,3228
large,1077,321,7,us-west,2687
large,1328,518,6,eu-west,3271
small,1977,686,10,us-east,2469
small,973,568,5,eu-west,1843
medium,3701,300,6,us-east,2445
small,3515,606,5,us-west,2563
large,132,733,9,eu-west,3359
large,3945,949,3,us-east,3562
small,3140,616,3,us-east,2006
medium,962,784,6,eu-west,2637
large,3593,320,9,eu-west,3652
medium,478,699,7,us-east,2375
small,1466,839,3,us-east,2126
medium,3136,502,9,us-east,3090
medium,139,164,2,eu-west,1577
small,247,904,6,eu-west,2432
large,1860,180,1,us-east,2045
medium,3781,416,4,us-east,2604
small,521,412,9,eu-west,2106
large,733,997,4,eu-west,3226
small,201,233,6,us-west,1639
medium,3639,802,4,eu-west,3026
small,542,441,1,eu-west,1377
small,3444,990,8,us-east,3055
medium,1013,74,4,us-east,1495
medium,3640,121,5,us-west,2272
large,1737,745,9,eu-west,3710
small,3692,317,3,us-east,1915
medium,544,660,7,us-east,2376
large,1887,670,9,us-west,3460
medium,878,310,1,eu-west,1809
medium,2229,997,9,us-east,3493
large,3118,736,4,eu-west,3492
medium,3986,730,6,us-east,3192
medium,3573,177,5,eu-west,2486
medium,1772,384,7,eu-west,2671
medium,621,246,7,eu-west,2259
medium,3164,974,3,eu-west,3216
large,1763,611,1,us-west,2660
medium,1860,854,10,us-east,3306
large,2004,502,8,us-west,3468
small,2038,862,3,eu-west,2479
small,2211,729,10,us-west,2808
small,2855,367,4,us-east,1712
small,289,300,8,us-east,1729
small,1797,957,10,us-west,2926
large,1672,556,7,eu-west,3225
small,2916,55,2,eu-west,1647
medium,820,873,9,us-east,2948
small,1120,989,2,eu-west,2243
small,2834,593,9,us-west,2802
medium,2609,884,9,us-west,3420
large,3774,212,8,us-west,3359
medium,3540,702,5,us-east,3042
large,2667,294,5,us-west,2931
small,1270,290,5,eu-west,1673
medium,430,191,3,eu-west,1533
medium,725,773,4,eu-west,2304
medium,1455,605,8,us-west,2749
small,3511,480,7,us-east,2572
large,180,927,10,eu-west,3742
medium,3961,410,5,us-east,2769
medium,2304,815,9,us-west,3366
small,998,329,7,us-west,1862
small,1476,734,7,us-west,2566
small,3866,180,10,us-west,2582
small,2524,627,1,us-west,1719
large,655,937,8,us-west,3468
small,1652,385,4,us-west,1744
medium,3217,950,7,us-west,3345
medium,3519,133,8,us-west,2392
large,313,408,4,eu-west,2684
small,264,822,1,eu-west,1665
small,2644,206,4,us-east,1440
medium,568,627,4,eu-west,2304
large,3241,427,3,us-west,3090
large,3042,167,3,eu-west,2667
small,205,369,10,eu-west,2229
medium,3956,782,4,us-west,2887
large,3502,692,4,eu-west,3382
large,3582,750,10,us-west,3997
large,1522,595,7,us-east,3256
medium,2172,713,6,us-east,2496
medium,532,493,6,us-west,2343
medium,726,495,3,eu-west,2214
large,1206,680,9,eu-west,3753
medium,1884,895,10,us-west,3307
medium,3502,138,5,us-east,2196
small,2434,674,7,us-west,2487
small,3585,382,3,us-west,2044
small,3367,314,6,us-west,2113
large,3704,332,9,eu-west,3444
large,450,297,7,us-east,2596
large,2928,537,8,us-east,3459
small,1305,276,7,us-east,1846
small,2819,645,6,us-west,2499
large,1508,485,9,eu-west,3352
medium,1958,327,5,eu-west,2212
small,3054,247,6,us-east,1768
large,3994,830,3,eu-west,3592
small,2083,333,10,eu-west,2605
large,1259,152,4,eu-west,2385
small,834,359,1,us-west,1379
large,1223,96,1,us-east,1942
medium,3966,179,8,eu-west,2660
small,1264,530,8,eu-west,2313
medium,310,308,8,us-east,1889
small,2114,125,10,us-west,2214
large,721,202,10,us-east,2741
small,585,621,7,us-east,2072
large,1024,844,9,eu-west,3711
medium,1317,930,10,us-west,3318
medium,2643,111,10,eu-west,2839
small,2662,266,5,us-east,1889
small,1082,227,9,us-east,1626
small,1773,511,10,us-east,2407
medium,1048,345,5,us-east,2082
medium,2915,289,5,us-east,2349
large,3392,252,7,eu-west,3138
large,2752,202,5,us-east,2564
small,779,861,5,us-east,2193
large,3873,345,8,eu-west,3451
medium,1345,766,7,eu-west,2827
large,2122,498,2,eu-west,2928
small,3108,380,10,us-west,2525
small,1037,740,10,us-east,2595
small,3464,325,10,eu-west,2502
small,2225,717,8,us-west,2567
small,1885,700,8,eu-west,2463
medium,1772,391,6,us-west,2486
small,1450,471,8,us-east,2002
large,3432,828,9,us-west,3918
medium,1388,308,6,us-east,1906
medium,3478,51,9,eu-west,2692
medium,868,580,6,us-east,2387
medium,1910,828,1,eu-west,2379
medium,636,999,5,eu-west,2850
large,597,79,10,us-west,2656
large,1372,614,1,us-east,2593
medium,1020,911,2,us-east,2333
small,3508,207,8,eu-west,2516
medium,2989,329,7,eu-west,2739
medium,1970,614,3,us-east,2226
small,2181,814,3,eu-west,2148
medium,1492,856,9,us-west,3081
small,3073,355,10,us-west,2656
large,3644,202,8,us-west,3366
medium,1461,615,9,us-west,2843
medium,3661,243,4,us-west,2435
medium,3606,844,7,us-east,3056
medium,2037,772,7,eu-west,3030
large,723,557,1,eu-west,2377
large,1459,940,2,eu-west,3244
small,3829,517,1,eu-west,2255
small,3667,720,3,us-west,2255
medium,1486,688,7,us-west,2874
small,3591,740,9,us-west,3020
medium,3043,958,8,eu-west,3635
small,380,290,5,eu-west,1440
large,1877,150,2,us-east,2182
small,1326,975,1,eu-west,1958
medium,1301,417,6,us-east,2180
small,2275,471,10,us-east,2569
small,817,130,10,us-east,1714
large,1086,559,10,eu-west,3361
small,2712,310,8,us-west,2164
large,3781,873,8,us-east,3950
large,747,125,8,eu-west,2675
large,2717,484,5,us-west,3177
medium,1675,923,8,us-east,2896
small,2442,417,10,us-west,2459
large,189,899,7,us-west,3276
small,3643,752,1,eu-west,2441
large,3511,975,5,us-west,4089
small,3384,410,4,eu-west,2293
small,1126,744,3,eu-west,2139
small,2747,90,5,eu-west,1782
small,1594,799,3,eu-west,2023
medium,3161,475,3,us-west,2324
small,3689,424,9,eu-west,2802
medium,1152,985,8,us-east,2963
large,3394,167,8,us-west,3037
small,3623,742,7,us-east,2800
medium,3338,454,1,us-east,2047
large,1962,427,5,us-east,2903
medium,3951,430,2,eu-west,2651
small,202,684,9,us-west,2248
large,2752,114,8,us-east,3045
medium,1772,169,3,eu-west,1680
small,2117,168,2,us-west,1265
large,1691,514,6,us-east,3098
large,3974,603,7,eu-west,3918
